title,price_gbp,rating,category,availability,price_category,in_stock
The Vacationers,42.15,4,Fiction,In stock,Premium,True
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,Business,In stock,Budget,True
The Stranger,17.44,4,Philosophy,In stock,Budget,True
The Shadow Hero (The Shadow Hero),33.14,1,Sequential Art,In stock,Mid-range,True
The Secret (The Secret #1),27.37,4,Default,In stock,Mid-range,True
The Regional Office Is Under Attack!,51.36,5,Fiction,In stock,Premium,True
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,Default,In stock,Mid-range,True
The Project,10.65,1,Science Fiction,In stock,Budget,True
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,Nonfiction,In stock,Premium,True
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,Nonfiction,In stock,Mid-range,True
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,Food and Drink,In stock,Mid-range,True
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery,In stock,Premium,True
The Mistake (Off-Campus #2),43.29,3,New Adult,In stock,Premium,True
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,New Adult,In stock,Premium,True
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,Food and Drink,In stock,Mid-range,True
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,Crime,In stock,Budget,True
The Kite Runner,41.82,4,Default,In stock,Premium,True
The House by the Lake,36.95,1,Historical Fiction,In stock,Mid-range,True
The Glittering Court (The Glittering Court #1),44.28,1,Fantasy,In stock,Premium,True
The Girl on the Train,55.02,2,Default,In stock,Premium,True
The Genius of Birds,17.24,1,Nonfiction,In stock,Budget,True
The Emerald Mystery,23.15,2,Default,In stock,Mid-range,True
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,Food and Drink,In stock,Premium,True
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,Default,In stock,Mid-range,True
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,Nonfiction,In stock,Mid-range,True
The Art of War,33.34,5,Default,In stock,Mid-range,True
The Argonauts,10.93,2,Autobiography,In stock,Budget,True
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Business,In stock,Mid-range,True
Suddenly in Love (Lake Haven #1),55.99,2,Romance,In stock,Premium,True
Something More Than This,16.24,4,Romance,In stock,Budget,True
Soft Apocalypse,26.12,2,Science Fiction,In stock,Mid-range,True
So You've Been Publicly Shamed,12.23,2,Nonfiction,In stock,Budget,True
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Business,In stock,Mid-range,True
"Shobu Samurai, Project Aryoku (#3)",29.06,3,Add a comment,In stock,Mid-range,True
Secrets and Lace (Fatal Hearts #1),20.27,1,Default,In stock,Mid-range,True
Scarlett Epstein Hates It Here,43.55,5,Young Adult,In stock,Premium,True
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,Default,In stock,Mid-range,True
Redeeming Love,20.47,5,Christian Fiction,In stock,Mid-range,True
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,Default,In stock,Premium,True
Poems That Make Grown Women Cry,14.19,4,Poetry,In stock,Budget,True
"Nightingale, Sing",38.28,1,Young Adult,In stock,Mid-range,True
Night Sky with Exit Wounds,41.05,1,Poetry,In stock,Premium,True
Mrs. Houdini,30.25,5,Historical Fiction,In stock,Mid-range,True
Modern Romance,28.26,5,Add a comment,In stock,Mid-range,True
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,Default,In stock,Budget,True
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,Biography,In stock,Budget,True
Little Red,13.47,3,Childrens,In stock,Budget,True
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,Young Adult,In stock,Premium,True
Large Print Heart of the Pride,19.15,2,Default,In stock,Budget,True
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Womens Fiction,In stock,Premium,True
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,Fantasy,In stock,Premium,True
Grumbles,22.16,2,Default,In stock,Mid-range,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Travel,In stock,Premium,True
Frostbite (Vampire Academy #2),29.99,5,Young Adult,In stock,Mid-range,True
Follow You Home,21.36,1,Horror,In stock,Mid-range,True
First Steps for New Christians (Print Edition),29.0,1,Default,In stock,Mid-range,True
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Fiction,In stock,Premium,True
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Sequential Art,In stock,Premium,True
Eureka Trivia 6.0,54.59,4,Default,In stock,Premium,True
Drive: The Surprising Truth About What Motivates Us,34.95,4,Default,In stock,Mid-range,True
Done Rubbed Out (Reightman & Bailey #1),37.72,5,Default,In stock,Mid-range,True
Doing It Over (Most Likely To #1),35.61,3,Romance,In stock,Mid-range,True
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,Food and Drink,In stock,Premium,True
